Asset,Unconditional,Crisis Corr,Calm Corr,Asymmetry,Diversifies?
QQQ,0.933830876385867,0.8795445755332824,0.8664861886251449,0.013058386908137432,✗ Fails
EFA,0.8460151375561682,0.8129759728727223,0.7209883894867268,0.09198758338599544,✗ Fails
EEM,0.7521882670529507,0.7232497166199947,0.5914373736199801,0.13181234300001465,✗ Fails
TLT,-0.1740816924912083,-0.17626353597305908,-0.1965232759180638,0.020259739945004712,✓ Holds
IEF,-0.14857437347868416,-0.1655917062947001,-0.14744954490518725,-0.018142161389512856,✓ Holds
HYG,0.7701269020020223,0.7580738322949017,0.5693339781263672,0.18873985416853445,✗ Fails
EMB,0.5773460983097776,0.5963770226916432,0.4133984076230407,0.18297861506860247,✗ Fails
GLD,0.06104343268803931,0.1157832838789486,0.1515017636495375,-0.035718479770588896,✓ Holds
SLV,0.21833802985597703,0.2900115645705328,0.05911190069800849,0.2308996638725243,✓ Holds
USO,0.27787978178472356,0.43529835039886705,0.06835380288046458,0.36694454751840244,✓ Holds
DBC,0.32542061257671456,0.4558928731933821,0.11321625769502444,0.3426766154983577,✓ Holds
