PC,Eigenvalue,Var_Explained,Cum_Var
PC1,8.282814944885274,0.6902345787404397,0.6902345787404397
PC2,1.4265073892360087,0.11887561576966743,0.8091101945101071
PC3,0.856635734926154,0.07138631124384619,0.8804965057539533
PC4,0.6675517996766402,0.05562931663972004,0.9361258223936734
PC5,0.21869465154255088,0.01822455429521258,0.9543503766888859
PC6,0.16044958008556054,0.013370798340463383,0.9677211750293493
PC7,0.14367951425572006,0.011973292854643342,0.9796944678839926
PC8,0.08120004294373342,0.006766670245311121,0.9864611381293037
PC9,0.06735332198769103,0.005612776832307588,0.9920739149616112
PC10,0.043512238802848234,0.0036260199002373537,0.9956999348618486
PC11,0.03048666821562264,0.002540555684635221,0.9982404905464838
PC12,0.021114113442194663,0.0017595094535162224,1.0
