Scenario,P&L (EUR),Return,× 1d VaR,× 1d ES,Severity,In VaR?
2022 Rate Shock,-2103583.2123340396,-0.21035832123340398,20.442746538940426,13.003531119757382,💀 Catastrophic,Gain
COVID Crash 2020,-1811257.344484753,-0.1811257344484753,17.601906400941736,11.196486598104935,🔴 Extreme,Gain
Equity Bear Market,-1625000.0,-0.1625,15.79184646987147,10.04511632613765,🔴 Extreme,Gain
Stagflation,-1204000.0,-0.1204,11.700543476754,7.442658496412142,🔴 Extreme,Gain
Rate Shock +200bps,-1193000.0,-0.1193,11.593644823727178,7.374660785896749,🔴 Extreme,Gain
Credit Crisis,-1142000.0,-0.1142,11.098023796057365,7.059398673507198,🔴 Extreme,Gain
USD Surge / EM Crisis,-722000.0000000001,-0.07220000000000001,7.0164388623059715,4.463122453828545,🟠 Severe,Gain
China/Oil Shock 2015–16,-582455.9603990713,-0.05824559603990713,5.660341601282259,3.6005156166528596,🟠 Severe,Gain
Flash Crash (1-day),-528000.0,-0.0528,5.131135345287468,3.2638901047388797,🟠 Severe,Gain
SVB / Banking Crisis 2023,237230.12568268244,0.023723012568268243,-2.305416444805682,-1.4664641283364923,✅ Positive,Beyond VaR
Soft Landing,703000.0,0.0703,-6.83179573435055,-4.345671862938319,✅ Positive,Beyond VaR
COVID Recovery 2020,3616580.785335709,0.3616580785335709,-35.146146774097666,-22.356292117890128,✅ Positive,Beyond VaR
